titulo,descripcion,fecha_lanzamiento,tipo_contenido
Breaking Bad,Serie sobre un profesor de química,2008-01-20,serie
Inception,Película de sueños dentro de sueños,2010-07-16,pelicula
Friends,Comedia sobre un grupo de amigos en NY,1994-09-22,serie
Stranger Things,Niños enfrentan fuerzas sobrenaturales,2016-07-15,serie
The Matrix,Película de acción y ciencia ficción,1999-03-31,pelicula
The Office,Comedia en un entorno de oficina,2005-03-24,serie
The Dark Knight,Batman enfrenta al Joker,2008-07-18,pelicula
The Crown,Biografía de la reina Isabel II,2016-11-04,serie
Interstellar,Astronautas viajan a través del espacio-tiempo,2014-11-07,pelicula
Black Mirror,Serie antológica sobre tecnología y sociedad,2011-12-04,serie
Titanic,Historia de amor en el famoso transatlántico,1997-12-19,pelicula
The Mandalorian,Cazarrecompensas en el universo de Star Wars,2019-11-12,serie
Gladiator,General romano convertido en esclavo,2000-05-05,pelicula
Narcos,Historia del narcotráfico en Colombia,2015-08-28,serie
Forrest Gump,Hombre con discapacidad vive hechos históricos,1994-07-06,pelicula
House of Cards,Drama político en Washington D.C.,2013-02-01,serie
Avatar,Película sobre un mundo alienígena llamado Pandora,2009-12-18,pelicula
Sherlock,Versión moderna del detective Holmes,2010-07-25,serie
The Godfather,Película sobre la mafia italiana,1972-03-24,pelicula
The Simpsons,Familia amarilla en una ciudad ficticia,1989-12-17,serie
